This is the filtered data of 7 markers on the leg with which this participant was standing on a slackline.

Sampling frequency:
100 Hz

UL1x	UL1y	UL1z	UL2x	UL2y	UL2z	UL3x	UL3y	UL3z	KNEEx	KNEEy	KNEEz	LL1x	LL1y	LL1z	LL2x	LL2y	LL2z	LL3x	LL3y	LL3z	


51.4040297840631	34.1120697057175	48.9991679029465	59.2358879613058	37.3877483555953	42.9514341356615	49.5901266710702	36.0840794799115	38.9189870400904	56.3619405967510	41.7153528829219	27.4803904637358	49.2117449901925	38.8601040490002	17.9791422614638	52.9951483377151	43.6331061116032	9.46251412602464	43.7293547389268	38.6825096926951	9.27455159396932
51.4763772908828	34.2169909311956	48.9911552973459	59.3075582852765	37.5065665349308	42.9495433598144	49.6601783500315	36.1957102093562	38.9158561770307	56.4198945185399	41.8555653682585	27.4918445437143	49.2720825190362	38.9887886181076	17.9979615119567	53.0378424603128	43.7684389341587	9.47792386124663	43.7825131064189	38.8015639547841	9.30003367781241
51.5550094671563	34.3220151716252	48.9875335991629	59.3819648546232	37.6274180929789	42.9506180585976	49.7360998358625	36.3014335516831	38.9165039184645	56.4783995704184	41.9927432331560	27.5053736636329	49.3340852526223	39.1086772322372	18.0156592790249	53.0789825237384	43.8942822145724	9.49404486303103	43.8387722535464	38.9073273694516	9.32586167086378
51.6398579809202	34.4245587208969	48.9899761184896	59.4585848514015	37.7485185320229	42.9555532971783	49.8169592445678	36.3988744927716	38.9217187605842	56.5364346013256	42.1240278263943	27.5211101813748	49.3961270812068	39.2163977087825	18.0321349381061	53.1177199102948	44.0059379817456	9.51103496222289	43.8972125251897	38.9950629055284	9.35197040404207
51.7304526338882	34.5225385528393	48.9996178639530	59.5374110178769	37.8677465543001	42.9652470854619	49.9018827463218	36.4853172549912	38.9321984807720	56.5933889023784	42.2454473377062	27.5391631298680	49.4565704204849	39.3082373489257	18.0479308731307	53.1538824323534	44.0983868910865	9.52860411771173	43.9564199310079	39.0608838418881	9.37845203559064
51.8259969857384	34.6142532584228	49.0172060889259	59.6187111548648	37.9823747645057	42.9804771954711	49.9902347349965	36.5578516533133	38.9488304691028	56.6493998594172	42.3527634524242	27.5593184771174	49.5143063381450	39.3805914752818	18.0641320376155	53.1879579067293	44.1667982404848	9.54606926963071	44.0147933056624	39.1019062782378	9.40560435060356
51.9255453722310	34.6979954831406	49.0434755395827	59.7024999901768	38.0891003118222	43.0016402135507	50.0813431687787	36.6141906249013	38.9725015948244	56.7053762704178	42.4419966176555	27.5809053812148	49.5691708293200	39.4305683207270	18.0820757917609	53.2208170994210	44.2070793958103	9.56273303097648	44.0708702784587	39.1164408047549	9.43397296226094
52.0278916292941	34.7721170222576	49.0790330195720	59.7883157918259	38.1849221596803	43.0285427871302	50.1740998550495	36.6533430159787	39.0036006950101	56.7627240107450	42.5096558542544	27.6030115911295	49.6218608909699	39.4560544470752	18.1029843728671	53.2533286654745	44.2165967323009	9.57815761367985	44.1235596592961	39.1040575084022	9.46417436661663
52.1312925376675	34.8356335864745	49.1237660397293	59.8752680717771	38.2678874709867	43.0605218855883	50.2669764923907	36.6754701044705	39.0417516415005	56.8229005429256	42.5534319768095	27.6248205469576	49.6734711281068	39.4558764505209	18.1275458428424	53.2860051363228	44.1950029148134	9.59229691684544	44.1724475811144	39.0655011870931	9.49662506728101
52.2335358038431	34.8886161515552	49.1765055694180	59.9620231330893	38.3370459483678	43.0968030007477	50.3584823931979	36.6814879042563	39.0858972146534	56.8868724201097	42.5728930994804	27.6458571333066	49.7250536482213	39.4304947264966	18.1556561568902	53.3188623637097	44.1446620644016	9.60554489568036	44.2180094618928	39.0027537350087	9.53138611650286
52.3323199760309	34.9320629025934	49.2352040687579	60.0468522505450	38.3923482143434	43.1367243409875	50.4474433856190	36.6733457221748	39.1344684321777	56.9548249349168	42.5693974039723	27.6661752776763	49.7773308526263	39.3825736597662	18.1864784734638	53.3517687098426	44.0702617383312	9.61842560706291	44.2613428581694	38.9194626743797	9.56811590450788
52.4255421007278	34.9676549704883	49.2972615336641	60.1279910425005	38.4346919108109	43.1796334116969	50.5328104549325	36.6545910001219	39.1854271617447	57.0262824187740	42.5457119545518	27.6864214054204	49.8305657055896	39.3169416767889	18.2187287086188	53.3849347969316	43.9779546037496	9.63106798862167	44.3035951514215	38.8215438965092	9.60609866616216
52.5115453853795	34.9974541257579	49.3597881644754	60.2041351868963	38.4658053012174	43.2245940661225	50.6134799130126	36.6301615534174	39.2363774250207	57.1003681877284	42.5058325744262	27.7075127404225	49.8846244987374	39.2401496953549	18.2510036543258	53.4188735872954	43.8751735390820	9.64296897924593	44.3453902520725	38.7173130196511	9.64430141142394
52.5893264253812	35.0237150351910	49.4198043176946	60.2746919679716	38.4880312825099	43.2701219431183	50.6884269072315	36.6055373213214	39.2847780834517	57.1760950744975	42.4547669661784	27.7299730748128	49.9391822420766	39.1600211036279	18.2820166664649	53.4540251259886	43.7710950850560	9.65312278293590	44.3865164663616	38.6165255287497	9.68139447572871
52.6583050658188	35.0490587346402	49.4742661759676	60.3396565425982	38.5040211640491	43.3141666200316	50.7568912069139	36.5861783713360	39.3279443258721	57.2525565543376	42.3984950497190	27.7533288739273	49.9940038933315	39.0852313357024	18.3106345530310	53.4905958099611	43.6762335672602	9.66041579011834	44.4263046774327	38.5286333352168	9.71587899458748
